Course,Credits,Semester_Number
THEA 1S*,1,1
THEA 132*,3,2
THEA 106*,3,1
THEA 201W*,3,2
THEA 120*,3,1
DANCE 270*†,3,2
THEA 289*,1,1
World Language,4,2
ENGL 15‡,3,1
General Education Course (GQ)‡,3,2
THEA 211||  220||  434|||| 440*,3,3
THEA 211||  220||  434|||| 440*,3,4
World Language,4,3
DANCE 170||  221||  225||  230||  240||  250||  260|||| 370*,1.5-3,4
Bachelor of Arts Knowledge Domain,3,3
Bachelor of Arts Knowledge Domain,3,4
General Education Course (GQ)‡,3,3
General Education Course,3,4
General Education Course,3,3
General Education Course,3,4
CAS 100A||  100B|||| 100C‡,3,5
(Optional Semester in London),,6
THEA 401||  402||  405W||  407W||  412|| DANCE  410||||DANCE 411*,3,5
If at University Park campus:,,6
Bachelor of Arts Knowledge Domain,3,5
Literature & Theory*1,3,6
General Education Course,3,5
General Education Course,3,6
General Education Course,3,5
Elective,3,6
THEA 401||  402||  405W||  407W||  412|| DANCE  410||||DANCE 411*,3,7
THEA 401||  402||  405W||  407W||  412|| DANCE  410||||DANCE 411*,3,8
ENGL 202A||  202B||  202C|||| 202D‡,3,7
General Education Course,3,8
Bachelor of Arts World Cultures,3,7
General Education Course,3,8
General Education Course,3,7
Elective,3,8
Elective,3,7
Elective,1-2.5,8
