Course,Credits,Semester_Number
KOR 1*,4.0,1
KOR 2*,4.0,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
General Education Course,3.0,1
Korea related courses from KOR&&Beyond Coursework*,3.0,2
General Education Course,3.0,1
General Education Course,3.0,2
First-Year Seminar,3.0,1
General Education Course (GQ)‡,3.0,2
KOR 3*,4.0,3
KOR 110*,4.0,4
KOR 120|| 121*,3.0,3
General Education Course,3.0,4
BA Knowledge Domains Course,3.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
BA Knowledge Domains Course,3.0,4
General Education Course,3.0,3
Elective,3.0,4
KOR 401*,4.0,5
KOR 402*,4.0,6
General Education Course,3.0,5
KOR 450||  451|||| 452*,3.0,6
General Education Course,3.0,5
ENGL 202B‡,3.0,6
BA Knowledge Domains Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
KOR 403Y*,4.0,7
KOR 404*,4.0,8
KOR 422||  423||  424||  425|||| 498*,3.0,7
Korea related courses from KOR&&Beyond Coursework*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,2.0,8
