Course,Credits,Semester_Number
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡,3.0,1
CAS 100|| CAS  100A|| CAS  100B|| CAS  100C|| CAS  138T||||ENGL  138T (GWS)‡,3.0,2
LING 100 (IL/US)*,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course,3.0,1
Linguistics Social Science Requirement*,3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
Elective,3.0,1
Elective,3.0,2
LING 404‡,3.0,3
LING 402*,3.0,4
General Education Course,3.0,3
STAT 200 (GQ)‡†,4.0,4
General Education Course,3.0,3
BA Field Course,3.0,4
World Language Level 3,4.0,3
BA Field Course,3.0,4
Elective,3.0,3
Elective,3.0,4
LING 449*,3.0,5
Non-English Linguistics Course*,3.0,6
ENGL 202‡,3.0,5
General Education Course,3.0,6
General Education Course,3.0,5
BA Field Course,3.0,6
General Education Course,3.0,5
BA World Cultures Course,3.0,6
Elective,3.0,5
Elective,3.0,6
Any LING 4XX Course*,3.0,7
Any LING 4XX Course*,3.0,8
Related Area Course*,3.0,7
Related Area Course*,3.0,8
General Education Course,3.0,7
General Education Course,3.0,8
General Education Course,3.0,7
Elective,2.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
