Course,Credits,Semester_Number
JAPNS 1*,4.0,1
JAPNS 2*,4.0,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
General Education Course,3.0,1
Major Course from Supporting Courses&&Related Areas*,3.0,2
General Education Course,3.0,1
General Education Course,3.0,2
First-Year Seminar,3.0,1
General Education Course (GQ)‡,3.0,2
JAPNS 3*,4.0,3
JAPNS 110*,4.0,4
JAPNS 120|| 121N*,3.0,3
General Education Course,3.0,4
BA Knowledge Domains Course,3.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
BA Knowledge Domains Course,3.0,4
General Education Course,3.0,3
Elective,3.0,4
JAPNS 401*,4.0,5
JAPNS 402*,4.0,6
General Education Course,3.0,5
JAPNS 450|| JAPNS  452|| JAPNS  453||||JAPNS  454*,3.0,6
General Education Course,3.0,5
ENGL 202B‡,3.0,6
BA Knowledge Domains Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
JAPNS 403Y*,4.0,7
JAPNS 404*,4.0,8
JAPNS 426||  430||  431||  432|| JAPNS 433||||JAPNS  434*,3.0,7
Major Course from Supporting Courses&&Related Areas*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,2.0,8
