Course,Credits,Semester_Number
First-Year Seminar1,1,1
Science Elective2,3,2
ENGL 15‡†,3,1
ECON 102|| 104 (GS),3,2
EDSGN 100*#,3,1
MATH 141*‡#†,4,2
General Education Course†,3,1
General Education Course†,3,2
MATH 140*‡#†,4,1
PHYS 211*#†,4,2
CMPSC 200,3,3
EMCH 212*,3,4
CAS 100A|| 100B‡†,3,3
EMCH 213*,3,4
EMCH 211*,3,3
ME 300*,3,4
MATH 251*,4,3
MATH 231,2,4
PHYS 212*†,4,3
MATH 220*,2-3,4
IE 312,3,5
ME 454*,3,6
MATSE 259,3,5
ENGL 202C‡†,3,6
ME 330*,3,5
ME 340*,3,6
ME 370*,3,5
ME 360*,3,6
ME 348*,3,5
ME 320*,3,6
ME 390,0.5,5
ME 490,0.5,6
Engineering Technical Elective (ETE),3,7
ME 440W,3,8
ME 410*,3,7
General Education Course†,3,8
ME 450*,3,7
General Education Course†,3,8
Mechanical Engineering Technical Elective (METE),3,7
General Technical Elective (GTE),3,8
ME 435 (Mechanical Engineering Lab)*3,3,7
Engineering Technical Elective (ETE),3,8
