Course,Credits,Semester_Number
General Education Course (GWS)‡,3.0,1
General Education Course (GWS)‡,3.0,2
SOC 1*,3.0,1
SOC (Lower Level Course)*,3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
General Education Course||First-Year Seminar,3.0,1
General Education Course,3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course,3.0,2
SOC (Lower Level Course)*,3.0,3
SOC 207*,3.0,4
STAT 200 (GQ)*‡†,4.0,3
BA Fields,3.0,4
CAS 283*,3.0,3
General Education Course,3.0,4
World Language Level 3,4.0,3
General Education Course,3.0,4
General Education Course,3.0,3
Elective,3.0,4
SOC (400-Level Course)*,3.0,5
General Education Course (GWS)‡,3.0,6
General Education Course,3.0,5
SOC 405*,3.0,6
General Education Course,3.0,5
SOC 470*,4.0,6
BA Fields,3.0,5
BA Fields,3.0,6
Elective,3.0,5
Elective,3.0,6
SOC 400W*,3.0,7
SOC (400-Level Course)*,3.0,8
SOC (400-Level Course)*,3.0,7
General Health&&Wellness Course (GHW),1.5,8
General Health&&Wellness Course (GHW),1.5,7
General Education Course,3.0,8
BA World Cultures Course,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,3.0,8
