Course,Credits,Semester_Number
MATH 110|| 140 (GQ)*‡†,4,1
CMPSC 101||  131|||| 203 (GQ)*‡†,3,2
PLSC 10 (GS)*,3,1
PLSC 1||  3||  7N||  14|||| 17N*,3,2
PLSC 1||  3||  7N||  14|||| 17N*,3,1
General Education Course,3,2
FYS/General Education Course,3,1
General Education Course,3,2
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡,3,1
CAS 100|| CAS  100A|| CAS  100B|| CAS  100C|| CAS  138T||||ENGL  138T (GWS)‡,3,2
STAT 184,2,3
PLSC 308*,3,4
PLSC 1||  3||  7N||  14|||| 17N*,3,3
PLSC 400-Level*1,3,4
PLSC 309*,3,3
Related Course In Consultation with Adviser*,3,4
General Education Course (IL),3,3
General Education Course (US),3,4
General Education Course,3,3
General Education Course,3,4
PLSC 400-Level*1,3,5
PLSC 400-Level*1,3,6
PLSC 400-Level*1,3,5
Methodology Course*,3,6
Related Course in Consultation with Adviser*,3,5
Related Course in Consultation with Adviser*,3,6
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,5
General Education Course,3,6
General Education Course,3,5
Elective,3,6
PLSC 400-Level*1,3,7
PLSC Capstone*,3,8
Methodology Course*,3,7
PLSC 400-Level*1,3,8
Related Course in Consultation with Adviser*,3,7
Methodology Course*,3,8
Elective (WAC),3,7
Elective,3,8
Elective,3,7
General Education Course (GHW),3,8
