Course,Credits,Semester_Number
BIOL 110†,4,1
CHEM 110†,3,2
MATH 110|| 140*‡†,4,1
CHEM 111†,1,2
ENGL 15||  30H||||ESL  15‡†,3,1
General Education Course,3,2
General Education Course,3,1
General Education Course,3,2
First-Year Seminar,1-3,1
MATH 111|| 141,2-4,2
ANSC 201|| BIOL  141&&BIOL  142||||BIOL  446,3-4,3
PHYS 250,4,4
BIOL 220W*,4,3
BIOL 240W,4,4
CHEM 202,3,3
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡†,3,4
BIOL 133||  222||  230W||||ANSC  322,3-4,3
SOILS 101†,3,4
STAT 240||STAT 301‡†,3,3
General Education Course,3,4
WFS 300*,2,5
FOR 350||STAT  460,3,6
WFS 301*,2,5
ENT 425|| FOR  470|| WFS  422||||WFS  435,3,6
WFS 310*,3,5
Wildlife Selection,3,6
WFS 452,2,5
ECON 104†,3,6
Natural Resource Policy|| Planning|| Law|| Administration (PPLA)&&Human Dimensions (HD) Course,3,5
Natural Resource Policy|| Planning|| Law|| Administration (PPLA)&&Human Dimensions (HD) Course,3,6
WFS 410,3,7
WFS 463W,3,8
WFS 453,2,7
WFS 446,3,8
ENGL 202C‡†,3,7
General Education Course,3,8
AEE 440|| ENGL  416||||ENGL  418,3,7
General Education Course (GHW),1.5,8
Physical Science Selection,3,7
Elective,3,8
