Course,Credits,Semester_Number
CMPSC 121|| 131*‡#,3,1
CMPSC 122|| 132*#,3,2
MATH 140 (GQ)*‡#†,4,1
MATH 141 (GQ)*‡#†,4,2
ENGL 15 (GWS)‡,3,1
PHYS 211 (GN|| PHYSICS 211L & PHYSICS 211R)*#†,4,2
General Education Course,3,1
General Education Course,3,2
General Education Course,3,1
First Year Seminar,1,2
CMPSC 221*,3,3
CMPSC 360*,3,4
MATH 230,4,3
CMPEN 270*,4,4
MATH 220,2-3,3
CMPSC 311*,3,4
PHYS 212 (GN|| PHYSICS 212L & PHYSICS 212R)*†,4,3
Natural Science Elective (GN|| See College Note below for options that DO NOT count),2-3,4
CAS 100A|| 100B (GWS)‡†,3,3
General Education Course,3,4
CMPSC 465*,3,5
CMPSC 464,3,6
CMPEN 331*,3,5
CMPSC 473*,3,6
STAT 318,3,5
STAT 319,3,6
CMPSC 461*,3,5
ENGL 202C (GWS)‡†,3,6
World Language,4,5
General Education Course,3,6
CMPSC 483W|| 431W,3,7
CMPSC/CMPEN 400-level2,3,8
CMPSC Elective1,3,7
CMPSC Elective1,3,8
Supporting Course,3,7
Supporting Course,3,8
Department List (General Elective),3,7
General Education Course,3,8
Department List (General Elective),4,7
Department List (General Elective),3,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
