Course,Credits,Semester_Number
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
Foreign Language (Level 1),4.0,1
General Education Quantification Course (GQ)‡,3.0,2
General Education Quantification (GQ)‡,3.0,1
Foreign Language (Level 2),4.0,2
General Education Course,3.0,1
General Education Course,3.0,2
First-Year Seminar,3.0,1
General Education Course,3.0,2
Core course for major*,3.0,3
Major Core Course*,3.0,4
Major Option Course*,3.0,3
Major Option Course*,3.0,4
BA World Cultures Course,3.0,3
General Education Course,3.0,4
World Language (Level 3),4.0,3
General Education Course,3.0,4
Elective,3.0,3
BA Knowldege Domains Course,3.0,4
Major Core Course*,3.0,5
Major Core Course*,3.0,6
Major Option Course*,3.0,5
Major Option Course*,3.0,6
General Education Course,3.0,5
ENGL 202A||  202B||  202C|||| 202D‡,3.0,6
BA Knowledge Domains Course,3.0,5
General Education Course,3.0,6
Elective course,3.0,5
General Education Course,3.0,6
Major Option Course*,3.0,7
Major Capstone Course*,3.0,8
Major Option Course*,3.0,7
Major Option Course*,3.0,8
BA Knowledge Domain Course,3.0,7
General Education Health&&Wellness (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
General Education Health&&Wellness (GHW),1.5,7
Elective,3.0,8
