Course,Credits,Semester_Number
MATH 140*‡#†,4,1
MATH 141*‡#†,4,2
STAT 200*,4,1
MATH 220*,3,2
ENGL 15||  30H||||ESL  15‡,3,1
General Education Course,3,2
ECON 102 (or General Education Course),3,1
ECON 104 (or General Education Course),3,2
PSU 16,1,1
Supporting Course (ACCTG 211 is recommended),4,2
MATH 230*,4,3
MATH/STAT 414*,3,4
MATH 311W*,3,3
MATH 312*,3,4
CMPSC 101||  121||  131||  200|||| 201*,3,3
General Education Course,3,4
General Education Course,3,3
Supporting Course (FIN 301 is recommended),3,4
General Education Course,3,3
Supporting Course (RM 214 is recommended),1.5-3,4
MATH 250|| 251*,3-4,5
MATH 484*,3,6
MATH/STAT 415*,3,5
MATH 451|| 486*,3,6
RM 410*,3,5
RM 421*,3,6
RM 302*,3,5
ENGL 202C||  202A||  202B|||| 202D‡,3,6
CAS 100A||  100B|||| 100C‡,3,5
Supporting Course (Chosen in consultation with an academic adviser),3,6
RM 411*,3,7
MATH/STAT 416*,3,8
STAT|| RM||||IE*1,3,7
STAT|| RM||||IE*1,3,8
STAT|| RM||||IE*1,3,7
General Education Course,3,8
General Education Course,3,7
General Education Course,3,8
General Education Course (GHW),1.5,7
Supporting Course (Chosen in consultation with an academic adviser),0-1.5,8
