Course,Credits,Semester_Number
COMM 100N (US Cultures)*,3,1
COMM 118*,3,2
COMM 160,1,1
IL Cultures,3,2
ENGL 15 (GWS)‡,3,1
World Language Level 2,4,2
PSU 9,1,1
General Education Course (GQ)‡,3,2
PSYCH 100 (GS)†,3,1
General Education Course (Inter-Domain),3,2
COMM 205*,3,3
COMM 305*,3,4
COMM 270*,3,3
BA World Cultures,3,4
World Language Level 3,4,3
General Education Course (GA),3,4
General Education Course (GQ)‡,3,3
General Education Course (Inter-Domain),3,4
General Education Course (GN),3,3
General Education Course (Exploration),3,4
CAS 100A||  100B|||| 100C (GWS)‡,3,5
COMM 325||  326||  327|||| 328*,3,6
COMM 304*,3,5
COMM 405*,3,6
COMM 325||  326||  327|||| 328*,3,5
General Education Course (GH),3,6
BA Fields,3,5
General Education Course (Exploration),3,6
General Education Course (GN),3,5
Elective,3,6
COMM 413W*,3,7
COMM 418*,3,8
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,7
BA Fields,3,8
Cinema||Media Course*1,3,7
General Education Course (GHW),3,8
BA Fields,3,7
Elective,3,8
Elective,3,7
Elective,1,8
