Course,Credits,Semester_Number
COMM 150N*#1,3,1
General Education Course (Exploration),3,2
COMM 160,1,1
General Education Course (GN),3,2
ENGL 15 (GWS)‡,3,1
General Education Course (Inter-Domain),3,2
General Education Course (GN),3,1
General Education Course (GS),3,2
World Language Level 1,4,1
World Language Level 2,4,2
COMM 242*#1||2,3,3
COMM 333*3,3,4
General Education Course (GH),3,3
General Education Course (Inter-Domain),3,4
General Education Course (GQ)‡,3,3
IL Cultures,3,4
BA World Cultures,3,3
General Education Course (GQ)‡,3,4
World Language Level 3,4,3
General Education Course (Exploration),3,4
COMM 337||  338|||| 339 (COMM 300-Level Production)*,3,5
COMM 337||  338|||| 339 (COMM 300-Level Production)*,3,6
COMM 340|| 342W*,3,5
COMM 340|| 342W*,3,6
CAS 100A||  100B|||| 100C (GWS)‡,3,5
BA Knowledge Domain,3,6
General Education Course (GA),3,5
BA Knowledge Domain,3,6
US Cultures,3,5
Elective,3,6
COMM 438||  439|||| 448 (COMM 400-Level Production)*4,3,7
COMM 346||  437||  437A||  438||  440||  444||  445||  446|||| 449 (COMM 400-Level Additional)*4,3,8
COMM 346||  440||  443||  444|||| 445 (COMM 400-Level Additional)*,3,7
COMM 346||  437||  437A||  438||  440||  444||  445|||| 446 (COMM 400-Level Additional)*,3,8
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,7
Elective,3,8
Elective,3,7
Elective,1,8
BA Knowledge Domain,3,7
General Education Course (GHW),3,8
