Year,Semester,Course,Credits
First Year,Fall,"HDFS 129,  129S, or  101N*",3
First Year,Spring,"HDFS 229,  239, or  249N*",3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course (GWS)‡,3
First Year,Fall,General Education Course (GS),3
First Year,Spring,General Education Course (GN),3
First Year,Fall,General Education Course (Integrative Studies: Inter-Domain),3
First Year,Spring,General Education Course (GH),3
First Year,Fall,First-Year Seminar,1-4
First Year,Spring,General Education Course (Exploration),3
Second Year,Fall,"HDFS 229,  239, or  249N*",3
Second Year,Spring,HDFS 301*,3
Second Year,Fall,HDFS 216*,3
Second Year,Spring,HDFS 311*,3
Second Year,Fall,"HDFS 200, EDPSY  101, or STAT  200 (GQ)*‡†",3-4
Second Year,Spring,"HDFS 315,  315Y, or SOC  30*",3
Second Year,Fall,Science and Health Foundations*1,3
Second Year,Spring,Science and Health Foundations*1,3
Second Year,Fall,General Education Course (Exploration),3
Second Year,Spring,Elective,3
Third Year,Fall,HDFS 312W*,3
Third Year,Spring,BBH 407 or SOC  451*,3
Third Year,Fall,Diversity and Development*1,3
Third Year,Spring,HDFS Course in Advanced Development*1,3
Third Year,Fall,Science and Health Foundations*1,3
Third Year,Spring,Science and Health Foundations*1,3
Third Year,Fall,General Education Course (GQ)‡,2-3
Third Year,Spring,General Education Course (GWS)‡,3
Third Year,Fall,General Education Course (GA),3
Third Year,Spring,General Education Course (Exploration),3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,HDFS Capstone*,3
Fourth Year,Spring,HDFS Capstone*,12
