Year,Semester,Course,Credits
First Year,Fall,"AGBM 170, RSOC  11, or SOC  1†",3
First Year,Spring,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Fall,MATH 110 or  140‡#†,4
First Year,Spring,AGBM 106*,3
First Year,Fall,AGBM 101 or ECON  102*,3
First Year,Spring,ACCTG 211,4
First Year,Fall,AGBM 102*,3
First Year,Spring,General Education Course (Exploration),3
First Year,Fall,AGSC 100,1
First Year,Spring,General Education Course (GN),3
Second Year,Fall,AGBM 338 (IL),3
Second Year,Spring,AGBM 302*,3
Second Year,Fall,SCM 200 or STAT  200‡†,4
Second Year,Spring,ECON 104†,3
Second Year,Fall,General Education Course (Exploration),3
Second Year,Spring,General Education Course (GH),3
Second Year,Fall,Writing/Speaking (GWS),3
Second Year,Spring,Elective,3
Second Year,Fall,Supporting Course1,3
Second Year,Spring,Supporting Course1,3
Third Year,Fall,AGBM 320*,3
Third Year,Spring,AGBM 308W*,3
Third Year,Fall,MKTG 301,3
Third Year,Spring,FIN 301,3
Third Year,Fall,"IST 110, MIS  204, MIS  250, or SRA  111 (Information Systems)",3
Third Year,Spring,MGMT 301,3
Third Year,Fall,ENGL 202D‡†,3
Third Year,Spring,Supporting Course (300 - 400 level)1,3
Third Year,Fall,General Education Course (GA),3
Third Year,Spring,General Education Course (GN- No Interdomain),3
Fourth Year,Fall,"AGBM 400-level (excluding AGBM 495A, AGBM 495B, AGBM 496)",3
Fourth Year,Spring,"AGBM 400-level (excluding AGBM 495A, AGBM 495B, AGBM 496)",3
Fourth Year,Fall,Integrative Studies Course,3
Fourth Year,Spring,AGBM 407 or  408,3
Fourth Year,Fall,"BA 243, BLAW  243, BA  342, or BLAW  341",3-4
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,SCM 301,3
Fourth Year,Spring,Supporting Course (300-400 level)1,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,2
