Year,Semester,Course,Credits
First Year,Fall,CMPSC 121 or  131*‡#,3
First Year,Spring,CMPSC 122 or  132*#,3
First Year,Fall,MATH 140 (GQ)*‡#†,4
First Year,Spring,MATH 141 (GQ)*‡#†,4
First Year,Fall,ENGL 15 (GWS)‡,3
First Year,Spring,"PHYS 211 (GN, PHYSICS 211L & PHYSICS 211R)*#†",4
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,First Year Seminar,1
Second Year,Fall,CMPSC 221*,3
Second Year,Spring,CMPSC 360*,3
Second Year,Fall,MATH 230,4
Second Year,Spring,CMPEN 270*,4
Second Year,Fall,MATH 220,2-3
Second Year,Spring,CMPSC 311*,3
Second Year,Fall,"PHYS 212 (GN, PHYSICS 212L & PHYSICS 212R)*†",4
Second Year,Spring,"Natural Science Elective (GN, See College Note below for options that DO NOT count)",2-3
Second Year,Fall,CAS 100A or  100B (GWS)‡†,3
Second Year,Spring,General Education Course,3
Third Year,Fall,CMPSC 465*,3
Third Year,Spring,CMPSC 464,3
Third Year,Fall,CMPEN 331*,3
Third Year,Spring,CMPSC 473*,3
Third Year,Fall,STAT 318,3
Third Year,Spring,STAT 319,3
Third Year,Fall,CMPSC 461*,3
Third Year,Spring,ENGL 202C (GWS)‡†,3
Third Year,Fall,World Language,4
Third Year,Spring,General Education Course,3
Fourth Year,Fall,CMPSC 483W or  431W,3
Fourth Year,Spring,CMPSC/CMPEN 400-level2,3
Fourth Year,Fall,CMPSC Elective1,3
Fourth Year,Spring,CMPSC Elective1,3
Fourth Year,Fall,Supporting Course,3
Fourth Year,Spring,Supporting Course,3
Fourth Year,Fall,Department List (General Elective),3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Department List (General Elective),4
Fourth Year,Spring,Department List (General Elective),3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
