Year,Semester,Course,Credits
First Year,Fall,MATH 140 (GQ)*‡#,4
First Year,Spring,MATH 141 (GQ)*#,4
First Year,Fall,CMPSC 131*#,3
First Year,Spring,CMPSC 132*#,3
First Year,Fall,ENGL 15 (GWS)‡,3
First Year,Spring,DS 200*#,4
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,PSU 17,1
First Year,Spring,General Education Course,3
Second Year,Fall,DS 220*,3
Second Year,Spring,"IST 230, CMPSC  360, or MATH  311W*",3
Second Year,Fall,MATH 220*,2
Second Year,Spring,"STAT/MATH 318,  414, or  418*",3
Second Year,Fall,CAS 100 (GWS)‡,3
Second Year,Spring,ENGL 202 (GWS)‡,3
Second Year,Fall,STAT 184,2
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,,
Third Year,Fall,DS 300*,3
Third Year,Spring,DS 310*,3
Third Year,Fall,DS 305*,3
Third Year,Spring,DS 330*,3
Third Year,Fall,DS 320*,3
Third Year,Spring,DS 410*,3
Third Year,Fall,STAT 380*,3
Third Year,Spring,Application Focus Selection,3
Third Year,Fall,Application Focus Selection,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,DS 340W*,3
Fourth Year,Spring,DS 440 or  440W*,3
Fourth Year,Fall,"DS 442, IST  442, SODA  308, IST  445, DS  420, DS  441, DS  402, or IST  494",3
Fourth Year,Spring,"DS 442, IST  442, SODA  308, IST  445, DS  420, DS  441, DS  402, or IST  494",3
Fourth Year,Fall,DS 435*,3
Fourth Year,Spring,Application Focus Selection (300- or 400-level),3
Fourth Year,Fall,Application Focus Selection (300- or 400-level),3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,3
