Year,Semester,Course,Credits
First Year,Fall,General Education (GWS)‡,3
First Year,Spring,CRIM/SOC 12*,3
First Year,Fall,CRIM 100*,3
First Year,Spring,General Education (GWS)‡,3
First Year,Fall,World Language level 1,4
First Year,Spring,STAT 200 (GQ)*‡†,4
First Year,Fall,General Education Quantification (GQ)‡,3
First Year,Spring,World Language level 2,4
First Year,Fall,General Education or First-Year Seminar,3
First Year,Spring,General Education Course,3
Second Year,Fall,"SOC 1,  3, or  5*",3
Second Year,Spring,"Race, Ethnicity, and Gender Course from List*",3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,CRIM 250W*,3
Second Year,Fall,CRIM 249*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,BA Fields,3
Second Year,Fall,Elective,3
Second Year,Spring,Elective,3
Third Year,Fall,"CAS 283, CMPSC  100, or CMPSC  101*",3
Third Year,Spring,4XX Level Course from List*,3
Third Year,Fall,4XX Level Course from List*,3
Third Year,Spring,"Race, Ethnicity, and Gender Course from List*",3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,BA Fields,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,4XX-Level CRIM Core Course from List*,3
Fourth Year,Spring,4XX-Level CRIM Core Course from List*,3
Fourth Year,Fall,General Education Course (GWS)‡,3
Fourth Year,Spring,BA Fields,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,BA World Cultures Course,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
