Year,Semester,Course,Credits
First Year,Fall,MATH 140 (GQ)*‡#†,4
First Year,Spring,CMPSC 121 or  131 (GQ)*#,3
First Year,Fall,"PHYS 211 (GN, PHYSICS 211L & PHYSICS 211R)*‡#†",4
First Year,Spring,MATH 141 (GQ)*‡#†,4
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,"PHYS 212 (GN, PHYSICS 212L & PHYSICS 212R)*†",4
First Year,Fall,General Education Course,3
First Year,Spring,ENGL 15 (GWS)*‡,3
First Year,Fall,First Year Seminar,1
First Year,Spring,General Education Course,3
Second Year,Fall,CMPEN 270*1,4
Second Year,Spring,CMPEN 331*,3
Second Year,Fall,CMPSC 122 or  132*,3
Second Year,Spring,CMPSC 221*,3
Second Year,Fall,MATH 250*,3
Second Year,Spring,EE 210*,4
Second Year,Fall,MATH 220,2-3
Second Year,Spring,MATH 231,2
Second Year,Fall,PHYS 214,2
Second Year,Spring,ECON 102 or  104 (GS)†,3
Third Year,Fall,CMPEN 431*,3
Third Year,Spring,CMPEN 362,3
Third Year,Fall,CMPSC 311*,3
Third Year,Spring,CMPSC 465*,3
Third Year,Fall,EE 310*,4
Third Year,Spring,CMPSC 473,3
Third Year,Fall,STAT 418,3
Third Year,Spring,EE 353*2,3
Third Year,Fall,CMPSC 360*,3
Third Year,Spring,ENGL 202C (GWS)*‡†,3
Fourth Year,Fall,CMPEN 482W (Capstone Design),3
Fourth Year,Spring,CMPEN Elective4,3
Fourth Year,Fall,CMPEN Elective4,3
Fourth Year,Spring,CMPSC/CMPEN Elective3,3
Fourth Year,Fall,CAS 100A or  100B*‡†,3
Fourth Year,Spring,CMPSC/CMPEN Elective3,3
Fourth Year,Fall,Department List (General Elective),3
Fourth Year,Spring,Department List (General Elective),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
