Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Spring,General Education Course (GQ)‡†,3
First Year,Fall,General Education Course (GQ)‡†,3
First Year,Spring,"CHEM 101,  110, or  130",3
First Year,Fall,"BIOL 110,  11 and  12, or BISC  3",3-4
First Year,Spring,"CAS 100A,  100B, or  100C‡†",3
First Year,Fall,AGSC 100,1
First Year,Spring,General Education Course (Exploration),3
First Year,Fall,Agriculture Course (any College of Agricultural Sciences course),3
First Year,Spring,Agriculture Course (any College of Agricultural Sciences course),3
Second Year,Fall,"ANSC 290, AEE  100, ERM  151, AG  100, or SC  101 (Careers in Agriculture)",1-2
Second Year,Spring,"AGECO 144,  457, PLANT  217, ENT  457, ERM  210, FDSC  200, or ANSC  207 and ANSC  208 (Technology in Agriculture)",3
Second Year,Fall,Animal Science Course (any ANSC course),3
Second Year,Spring,"SOILS 412W, AGECO  122, EGEE  101, FOR  470, METEO  122, CED  327, SOILS  71, SOILS  101, or WFS  209N (Natural Resources/Ecology)",3
Second Year,Fall,Integrative Studies Course,3
Second Year,Spring,General Education Course (GA),3
Second Year,Fall,General Education Course (GH),3
Second Year,Spring,College of Agricultural Sciences Minor Course*,3
Second Year,Fall,"AG 160, AGECO  134N, CED  201, FDSC  105, or STS  105 (Ag and Environmental Policy)",3
Second Year,Spring,General Education Course (GS),3
Third Year,Fall,ENGL 202C or  202D‡†,3
Third Year,Spring,"AEE 400, AGBM  338, CED  420W, CED  450, FOR  418, FOR 488Y, or INTAG  100N (International Agriculture)",3
Third Year,Fall,AEE 311 or  465,3
Third Year,Spring,AEE 360,3
Third Year,Fall,"SOILS 412W, AGECO  122, EGEE  101, FOR  470, METEO  122, CED  327, SOILS  71, SOILS  101, or WFS  209N (Natural Resources/Ecology)",3
Third Year,Spring,Horticulture Course (any HORT course),3
Third Year,Fall,AEE 330W or  440,3
Third Year,Spring,General Education Course (GN),3
Third Year,Fall,College of Agricultural Sciences Minor Course*,3
Third Year,Spring,Elective,3
Fourth Year,Fall,AEE 460,3
Fourth Year,Spring,"Crop Managment Course (any AGECO, AGRO, or ENT course)",3
Fourth Year,Fall,College of Agricultural Sciences Minor Course*,3
Fourth Year,Spring,College of Agricultural Sciences Minor Course*,3
Fourth Year,Fall,College of Agricultural Sciences Minor Course*,3
Fourth Year,Spring,College of Agricultural Sciences Minor Course*,3
Fourth Year,Fall,"Ag Economics & Rural Sociology Course (any AGBM, CED, or RSOC course)",3
Fourth Year,Spring,Agriculture Course (any College of Agricultural Sciences course),3
Fourth Year,Fall,Elective,4
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
