Year,Semester,Course,Credits
First Year,Fall,MATH 140*‡#†,4
First Year,Spring,MATH 141*‡#†,4
First Year,Fall,STAT 200*,4
First Year,Spring,MATH 220*,3
First Year,Fall,"ENGL 15,  30H, or ESL  15‡",3
First Year,Spring,World Language Level 2,4
First Year,Fall,World Language Level 1,4
First Year,Spring,General Education Course,3
First Year,Fall,PSU 16,1
First Year,Spring,General Education Course,3
Second Year,Fall,MATH 230*,4
Second Year,Spring,MATH 250 or  251*,3-4
Second Year,Fall,MATH 311W*,3
Second Year,Spring,MATH 312*,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,"CMPSC 101,  121,  131,  200, or  201*",3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,"MATH 411,  412,  417,  419, or  421*1",3
Third Year,Spring,MATH 435 or  436*,3
Third Year,Fall,"CAS 100A,  100B, or  100C‡",3
Third Year,Spring,"ENGL 202C,  202A,  202B, or  202D‡",3
Third Year,Fall,BA World Cultures,3
Third Year,Spring,Supporting Course (Chosen in consultation wtih an academic adviser),3-4
Third Year,Fall,General Education Course,3
Third Year,Spring,BA Fields,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,MATH 403*,3
Fourth Year,Spring,MATH 400-Level*2,3
Fourth Year,Fall,MATH 400-Level*2,3
Fourth Year,Spring,BA Fields,3
Fourth Year,Fall,BA Fields,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Supporting Course (Chosen in consultation wtih an academic adviser),3
Fourth Year,Spring,General Education Course,3
