Year,Semester,Course,Credits
First Year,Fall,MATH 140*‡#†,4
First Year,Spring,MATH 141*‡#†,4
First Year,Fall,STAT 200*,4
First Year,Spring,MATH 220*,3
First Year,Fall,"ENGL 15,  30H, or ESL  15‡",3
First Year,Spring,General Education Course,3
First Year,Fall,ECON 102 (or General Education Course),3
First Year,Spring,ECON 104 (or General Education Course),3
First Year,Fall,PSU 16,1
First Year,Spring,Supporting Course (ACCTG 211 is recommended),4
Second Year,Fall,MATH 230*,4
Second Year,Spring,MATH/STAT 414*,3
Second Year,Fall,MATH 311W*,3
Second Year,Spring,MATH 312*,3
Second Year,Fall,"CMPSC 101,  121,  131,  200, or  201*",3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Supporting Course (FIN 301 is recommended),3
Second Year,Fall,General Education Course,3
Second Year,Spring,Supporting Course (RM 214 is recommended),1.5-3
Third Year,Fall,MATH 250 or  251*,3-4
Third Year,Spring,MATH 484*,3
Third Year,Fall,MATH/STAT 415*,3
Third Year,Spring,MATH 451 or  486*,3
Third Year,Fall,RM 410*,3
Third Year,Spring,RM 421*,3
Third Year,Fall,RM 302*,3
Third Year,Spring,"ENGL 202C,  202A,  202B, or  202D‡",3
Third Year,Fall,"CAS 100A,  100B, or  100C‡",3
Third Year,Spring,Supporting Course (Chosen in consultation with an academic adviser),3
Fourth Year,Fall,RM 411*,3
Fourth Year,Spring,MATH/STAT 416*,3
Fourth Year,Fall,"STAT, RM, or IE*1",3
Fourth Year,Spring,"STAT, RM, or IE*1",3
Fourth Year,Fall,"STAT, RM, or IE*1",3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Supporting Course (Chosen in consultation with an academic adviser),0-1.5
