Year,Semester,Course,Credits
First Year,Fall,First-Year Seminar1,1
First Year,Spring,Science Elective2,3
First Year,Fall,ENGL 15‡†,3
First Year,Spring,ECON 102 or  104 (GS),3
First Year,Fall,EDSGN 100*#,3
First Year,Spring,MATH 141*‡#†,4
First Year,Fall,General Education Course†,3
First Year,Spring,General Education Course†,3
First Year,Fall,MATH 140*‡#†,4
First Year,Spring,PHYS 211*#†,4
Second Year,Fall,CMPSC 200,3
Second Year,Spring,EMCH 212*,3
Second Year,Fall,CAS 100A or  100B‡†,3
Second Year,Spring,EMCH 213*,3
Second Year,Fall,EMCH 211*,3
Second Year,Spring,ME 300*,3
Second Year,Fall,MATH 251*,4
Second Year,Spring,MATH 231,2
Second Year,Fall,PHYS 212*†,4
Second Year,Spring,MATH 220*,2-3
Third Year,Fall,IE 312,3
Third Year,Spring,ME 454*,3
Third Year,Fall,MATSE 259,3
Third Year,Spring,ENGL 202C‡†,3
Third Year,Fall,ME 330*,3
Third Year,Spring,ME 340*,3
Third Year,Fall,ME 370*,3
Third Year,Spring,ME 360*,3
Third Year,Fall,ME 348*,3
Third Year,Spring,ME 320*,3
Third Year,Fall,ME 390,0.5
Third Year,Spring,ME 490,0.5
Fourth Year,Fall,Engineering Technical Elective (ETE),3
Fourth Year,Spring,ME 440W,3
Fourth Year,Fall,ME 410*,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,ME 450*,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,Mechanical Engineering Technical Elective (METE),3
Fourth Year,Spring,General Technical Elective (GTE),3
Fourth Year,Fall,ME 435 (Mechanical Engineering Lab)*3,3
Fourth Year,Spring,Engineering Technical Elective (ETE),3
