Year,Semester,Course,Credits
First Year,Fall,COMM 100N (US Cultures)*,3
First Year,Spring,COMM 118*,3
First Year,Fall,COMM 160,1
First Year,Spring,IL Cultures,3
First Year,Fall,ENGL 15 (GWS)‡,3
First Year,Spring,World Language Level 2,4
First Year,Fall,PSU 9,1
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,PSYCH 100 (GS)†,3
First Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,COMM 205*,3
Second Year,Spring,COMM 305*,3
Second Year,Fall,COMM 270*,3
Second Year,Spring,BA World Cultures,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course (GA),3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,General Education Course (GN),3
Second Year,Spring,General Education Course (Exploration),3
Third Year,Fall,"CAS 100A,  100B, or  100C (GWS)‡",3
Third Year,Spring,"COMM 325,  326,  327, or  328*",3
Third Year,Fall,COMM 304*,3
Third Year,Spring,COMM 405*,3
Third Year,Fall,"COMM 325,  326,  327, or  328*",3
Third Year,Spring,General Education Course (GH),3
Third Year,Fall,BA Fields,3
Third Year,Spring,General Education Course (Exploration),3
Third Year,Fall,General Education Course (GN),3
Third Year,Spring,Elective,3
Fourth Year,Fall,COMM 413W*,3
Fourth Year,Spring,COMM 418*,3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Fourth Year,Spring,BA Fields,3
Fourth Year,Fall,Cinema or Media Course*1,3
Fourth Year,Spring,General Education Course (GHW),3
Fourth Year,Fall,BA Fields,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,1
