Year,Semester,Course,Credits
First Year,Fall,CHNS 1*,4
First Year,Spring,CHNS 2*,4
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,General Education Course,3
First Year,Spring,Any Level China-Related Course from Supporting Course and Related Areas List*,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course,3
Second Year,Fall,CHNS 3*,4
Second Year,Spring,CHNS 110*,4
Second Year,Fall,CHNS 120 or  121N*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,US Cultures,3
Second Year,Fall,BA Knowledge Domain Course,3
Second Year,Spring,BA Knowledge Domain Course,3
Third Year,Fall,CHNS 401*,4
Third Year,Spring,CHNS 402,4
Third Year,Fall,General Education Course,3
Third Year,Spring,"CHNS 415,  416,  417,  418, or  419*",3
Third Year,Fall,General Education Course,3
Third Year,Spring,ENGL 202B‡,3
Third Year,Fall,BA Knowledge Domain Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,CHNS 403W,4
Fourth Year,Spring,CHNS 404*,4
Fourth Year,Fall,"CHNS 452,  453,  454, or CHNS 455",3
Fourth Year,Spring,Any Level China-Related Course from Supporting Course and Related Areas List*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
